k[h/Mpc] dP/dk(z=0.00) dP/dk(z=0.08) dP/dk(z=0.17) dP/dk(z=0.29) dP/dk(z=0.42) dP/dk(z=0.59) dP/dk(z=0.80) dP/dk(z=1.08) dP/dk(z=1.45) dP/dk(z=2.00) 
0.00028292 4090590.51614 3756773.29846 3412154.73997 3042011.30197 2648084.57215 2240959.1231 1832203.23544 1432618.65056 1058916.1677 726477.955015 
0.00028864 4086192.72738 3769582.96133 3410348.3331 3038337.02233 2646196.58379 2238986.03203 1828946.15195 1430842.56256 1057763.18807 724387.721541 
0.00029447 4084551.65683 3761494.20625 3413754.5939 3038315.09325 2642510.00151 2236886.39664 1828713.50742 1430883.15377 1058038.85949 724096.557179 
0.00030042 4074528.97609 3749472.51276 3410111.55371 3032707.99985 2639665.87824 2234668.20347 1827314.72994 1428165.15524 1056490.03894 723840.180248 
0.00030649 4077384.46527 3752509.34555 3411762.36259 3030683.09514 2637445.75885 2232128.46731 1823901.70979 1427148.51267 1055477.35644 723365.821142 
0.00031268 4084794.47237 3753243.33194 3399593.55899 3025698.19182 2637770.96338 2231740.50537 1824938.70009 1427782.40237 1054433.73889 723609.969533 
0.00031899 4064136.29249 3745996.16976 3390656.20206 3020422.62519 2632186.8691 2228049.5605 1820298.57692 1424818.99608 1053226.24491 721438.323858 
0.00032544 4063532.3334 3740404.43251 3398008.63101 3028940.1534 2628656.5347 2224755.85304 1817445.35417 1421873.40479 1052465.8992 721448.050557 
0.00033201 4059465.81075 3734239.50632 3385992.52314 3020183.3941 2627211.36481 2223086.25063 1817628.89012 1422145.87928 1050300.49039 719915.012723 
0.00033872 4051537.57875 3733372.76951 3389970.63411 3008752.6974 2621917.65491 2220500.97831 1814347.15248 1419823.30709 1049170.80879 718334.183362 
0.00034556 4044429.73165 3737228.87357 3378267.36338 3011066.26464 2622349.0163 2218843.20514 1813554.59091 1418118.45494 1049658.73182 719604.718237 
0.00035254 4040388.73874 3720981.27393 3373277.24252 3007943.94489 2618175.80305 2215487.8188 1811410.92716 1417246.63824 1047461.86366 718741.990345 
0.00035966 4049093.0675 3719273.08912 3382912.46915 2999776.46341 2615745.14273 2212849.09442 1808955.98614 1414977.80227 1045701.63821 716120.448626 
0.00036693 4030041.10647 3709465.51473 3359932.80226 3005874.7157 2604877.46158 2209213.7351 1806267.37937 1412299.41422 1044956.38133 715715.168592 
0.00037434 4028009.84741 3718213.11993 3368509.1161 3000636.78475 2615032.04969 2209189.73083 1805277.1647 1412624.12397 1044262.95745 716587.499401 
0.0003819 4025440.59547 3701830.13985 3365726.54319 2988601.17825 2605473.70736 2204572.30704 1802330.11418 1410224.16583 1042549.85691 714576.169972 
0.00038962 4020548.43611 3701001.57397 3352803.09373 2989693.54754 2592896.24612 2201853.61057 1799713.62969 1408607.78952 1040875.97213 713147.902144 
0.00039749 4022473.79262 3699612.12967 3351232.74719 2987546.14161 2609073.48055 2200289.91474 1798078.66104 1406968.48715 1040281.77891 712530.7791 
0.00040552 4003680.48651 3690580.30946 3355779.52592 2984430.0272 2593584.37811 2197182.78138 1796755.62972 1405107.21307 1039541.83724 712221.837844 
0.00041371 4007345.25541 3695055.05914 3348463.82067 2979037.4299 2590614.59456 2194732.3515 1794199.74789 1403004.56595 1038322.38117 711099.542471 
0.00042207 4003044.41198 3681110.1311 3336013.60425 2972456.75501 2596414.43362 2191446.86447 1790386.68276 1401098.13251 1035650.14414 710513.119879 
0.0004306 3995138.85185 3676417.88413 3342716.70085 2964782.23466 2583450.39581 2186987.7411 1790321.52581 1401169.12689 1035863.99625 709717.095101 
0.00043929 3988646.0395 3669429.76859 3328111.23922 2973135.45798 2575551.40574 2182796.26126 1787013.04039 1398408.17474 1033388.3565 708527.4648 
0.00044817 3989172.87829 3671977.51629 3322836.83435 2968291.04221 2583823.55395 2188235.46426 1784680.48798 1395842.49913 1032292.47524 707751.175526 
0.00045722 3980828.5354 3661701.00572 3324513.29597 2956773.34512 2582418.44627 2181752.04635 1782554.41919 1394134.04342 1031419.16838 707033.367765 
0.00046646 3970284.57438 3660982.2927 3324669.7481 2952274.77321 2570854.57827 2174513.94621 1779681.90391 1392988.29738 1029231.3296 705786.496423 
0.00047588 3964332.36265 3655469.15925 3312369.92219 2951312.17803 2568503.606 2174734.99348 1777187.01544 1390798.16008 1028446.58859 704629.876957 
0.0004855 3964963.08422 3650673.86413 3311241.29257 2952498.91805 2564821.90805 2172979.34886 1775627.79138 1388562.99363 1027300.07372 704680.371902 
0.0004953 3965236.66379 3646761.59725 3308147.3823 2942184.25083 2558670.16783 2171370.74406 1773197.60085 1387566.55022 1026050.47944 703245.280674 
0.00050531 3950658.11236 3630875.47116 3295718.16451 2937107.48009 2556530.94573 2165542.78436 1768898.32 1384396.85943 1023148.828 701499.523782 
0.00051552 3941626.33038 3639916.35816 3300957.36971 2935357.90144 2556497.62975 2163609.0975 1768454.53125 1383510.76609 1023792.98652 701482.478227 
0.00052593 3939875.92549 3632538.01856 3287322.04674 2926112.01548 2552125.34723 2157821.46928 1763572.35021 1380353.79795 1021358.36467 700124.116819 
0.00053656 3939332.52841 3617960.29015 3284156.10291 2926908.67766 2548977.37662 2152199.4055 1765860.06497 1379453.47395 1019260.14756 698705.62929 
0.00054739 3928493.46266 3619765.51904 3286916.24152 2924408.55686 2545524.05703 2150527.23247 1760839.57831 1377647.58809 1019027.4952 698889.815588 
0.00055845 3919489.46702 3611639.19559 3276042.20816 2918037.99982 2536532.00464 2155703.57764 1752403.72976 1374218.20495 1017069.35676 696730.498259 
0.00056973 3921112.79925 3608191.93634 3269182.7152 2914757.69295 2536861.47743 2144996.53009 1757640.6533 1373490.06343 1014838.51534 696020.150839 
0.00058124 3906243.72769 3596669.80463 3261218.69779 2904518.90823 2533099.35507 2139240.11642 1747942.84602 1369736.94839 1013174.74762 694684.149821 
0.00059299 3902971.09203 3596593.96798 3265018.01572 2905248.8838 2524653.89456 2143658.22223 1749856.45406 1368699.71004 1012473.96909 693893.333667 
0.00060496 3904464.56091 3593139.27434 3256696.76138 2902511.39438 2520196.79776 2136349.81137 1749576.90021 1366229.24341 1010318.24776 693270.018961 
0.00061719 3885078.46978 3577341.47775 3246500.044 2890325.55848 2518757.53538 2129265.18297 1740158.04955 1363313.72462 1008366.53618 691007.594665 
0.00062965 3884747.93973 3579859.00122 3246641.81592 2887495.70279 2520110.44119 2129435.5848 1739272.20219 1362760.10773 1007274.19513 690957.032171 
0.00064237 3880136.90804 3572744.54895 3235355.97897 2883139.25863 2508188.46397 2124758.17629 1739861.94179 1358921.95729 1005505.90407 688955.039595 
0.00065535 3871346.67617 3561491.68682 3236149.69402 2879713.99017 2506080.10642 2119230.02579 1736827.22629 1356558.05765 1003449.49618 687960.639611 
0.00066859 3861317.69421 3554679.90236 3225164.0701 2875033.14828 2501529.84129 2121177.46531 1725269.94272 1354493.09466 1001390.47966 687327.663289 
0.0006821 3853946.36632 3550793.03302 3220823.32242 2868988.29051 2494080.4945 2114092.66532 1724889.64498 1351939.68782 1000018.3109 685435.597037 
0.00069588 3852337.00656 3546832.88565 3217091.11015 2864329.82248 2494481.70024 2108601.34626 1730516.99057 1350681.41206 998595.643652 684563.069722 
0.00070993 3848570.83332 3541218.47651 3207107.35344 2856776.47164 2490535.9202 2107133.00052 1722988.64739 1347442.06457 997028.369749 683433.387355 
0.00072427 3832221.55114 3528526.04759 3207774.52044 2848798.16383 2485257.15832 2101089.67359 1712834.15276 1345664.28541 994352.32397 681788.71793 
0.00073891 3825446.16046 3525318.61969 3195897.46919 2849642.39164 2475737.63105 2097665.11846 1715514.57294 1344419.64364 992554.101826 680584.827633 
0.00075383 3822489.54209 3520274.33126 3190548.94958 2843233.24855 2469922.22969 2092695.16977 1715995.21584 1335035.65824 990811.690825 679790.900134 
0.00076906 3810570.878 3508621.59213 3186039.45544 2832718.4157 2470662.04463 2089290.98702 1709125.3139 1335716.79089 988588.898799 677920.744259 
0.0007846 3808333.81057 3504904.03943 3175398.94403 2829639.57938 2466893.73429 2088075.79584 1704643.30293 1336069.58788 986646.484469 676206.833628 
0.00080045 3797941.10964 3497785.60514 3169545.88897 2822471.13372 2456767.01262 2078767.21271 1698490.18169 1329291.0951 984641.20147 675280.333546 
0.00081662 3786246.13711 3491146.10719 3166116.00668 2820181.66954 2453259.09215 2076687.38518 1695471.39719 1329305.75762 983028.971434 673927.213357 
0.00083311 3782370.95876 3480935.57526 3161673.54374 2816532.14365 2445640.97091 2070234.32242 1696990.88096 1326606.12765 980447.947526 672554.724523 
0.00084994 3773530.93878 3473966.6929 3149243.59089 2804867.34034 2440399.94898 2067635.48029 1690869.01844 1323582.52131 978242.971972 671309.978756 
0.00086711 3765155.54957 3464495.63528 3141756.51216 2799667.55048 2439866.20196 2065065.00549 1686754.2347 1320354.22693 976063.151665 669331.491014 
0.00088463 3754709.95857 3458490.17055 3136646.70943 2791066.59206 2432703.46276 2056390.59925 1680514.18705 1316739.49954 974050.191824 667589.133069 
0.0009025 3748345.90375 3453090.89746 3130751.08568 2787029.5741 2427045.16434 2052116.53809 1679004.35414 1313359.59908 971821.503013 666580.687453 
0.00092073 3739452.17884 3438896.219 3121784.77661 2780946.44988 2418777.7069 2051008.16597 1675454.42577 1308093.19757 969252.053477 665020.553258 
0.00093933 3727361.50593 3432464.8179 3117209.30385 2771833.39304 2413689.30539 2043713.46873 1671079.03503 1306771.46744 967160.921224 663102.429115 
0.00095831 3719558.34831 3427528.48124 3105600.84986 2768273.84944 2407513.48033 2036401.89271 1666865.56683 1304044.86503 964229.08556 661347.961259 
0.00097767 3711024.02917 3421005.4884 3099580.26467 2759488.0097 2401244.32145 2033025.0567 1661780.19242 1302024.64746 963195.207574 660276.07318 
0.00099742 3696860.24159 3400269.60719 3089655.42269 2747415.73451 2392998.63427 2028067.84201 1657946.32597 1296549.52804 959032.476532 657191.183302 
0.0010176 3696154.54439 3399598.33375 3085156.47223 2750212.62989 2392549.32585 2026163.39444 1654125.44963 1295842.84168 956033.089117 657032.833544 
0.0010381 3686307.02932 3399065.49278 3079703.16392 2741079.67377 2387480.72859 2020724.95706 1651825.6413 1292711.98768 954274.787467 655598.721831 
0.0010591 3666169.25562 3376329.01145 3059905.30706 2725360.6817 2371900.53156 2007100.19877 1642482.75918 1283413.43329 952393.789352 651935.235744 
0.0010805 3667891.51536 3374359.87121 3062927.85984 2729991.83489 2374932.27488 2007901.16398 1641776.75504 1285871.68519 953069.434304 652224.009279 
0.0011023 3648639.80882 3362339.3107 3049459.5691 2715929.16771 2364539.55297 2002670.71969 1637474.12673 1281450.71146 943789.343954 648942.069158 
0.0011246 3643345.42887 3354100.77905 3039600.28238 2706449.77908 2358066.26404 1995813.50881 1632019.84607 1275718.98236 945692.080324 647421.55008 
0.0011473 3631053.287 3341167.36104 3032022.23175 2698311.07681 2349833.53476 1987267.4461 1621091.85806 1269158.71841 939783.660515 645361.076459 
0.0011705 3624555.83831 3334647.03597 3029176.68884 2696992.45467 2347847.80153 1990538.73052 1635894.5568 1281802.34814 942973.185269 644512.325513 
0.0011941 3601124.3931 3319916.75257 3004907.89931 2667470.25396 2322728.57987 1947660.01825 1565511.70657 1218822.30798 916052.401052 640646.64622 
0.0012182 3657904.47187 3361508.03828 3065597.10165 2759951.93262 2399967.90655 2107074.04478 1815181.55012 1442160.96221 1016675.81297 649721.353253 
0.001242 3746976.28961 3424730.8605 3154863.99606 2882649.2759 2505117.31381 2317102.16961 2149139.14906 1731743.40201 1156667.26479 663572.214799 
0.00296780857143 2809299.62671 2593420.30363 2340358.47008 2065684.79391 1799068.18769 1473090.34315 1139538.74228 878866.584491 681439.785196 499801.639052 
0.00469361714286 2242832.16258 2063373.02281 1875589.06935 1676067.93494 1458538.293 1250378.39582 1042362.24895 819440.163338 596007.031913 398263.396389 
0.00641942571429 1710139.85649 1575532.70993 1429018.57338 1272128.49064 1107874.9819 935637.957703 761962.860645 595763.418791 442089.349417 304868.622927 
0.00814523428571 1263975.43447 1164265.96379 1057128.71473 942624.405811 820954.592726 697307.765341 572913.536625 449030.886973 330948.699012 225659.531916 
0.00987104285714 900387.700911 829678.337118 753358.727577 671700.065333 585295.800121 496329.409672 406663.013989 318612.452229 235581.867159 161340.85981 
0.0115968528571 604792.023934 557537.854143 506595.941558 452043.092123 394106.289523 334645.659987 274701.856166 215438.886332 159213.289073 108996.267156 
0.0133226614286 347236.712957 320593.717349 291672.631834 260550.905935 227426.445015 193324.147333 158831.605073 124734.053839 92403.6796005 63381.6875357 
0.0150484714286 137385.482553 127286.787962 116256.739759 104338.028381 91609.134375 78233.7450759 64571.2017916 50961.2799867 38001.4856467 26131.4440034 
0.0167742714286 -40605.006141 -36512.4833876 -32337.1412706 -28058.8805985 -23676.7592212 -19421.5636141 -15422.200478 -11676.5343087 -8208.33550443 -5449.3907052 
0.0185000857143 -188173.155032 -172467.263649 -155618.73194 -137822.193371 -119356.653196 -100571.665606 -81889.2914194 -63693.6160045 -46671.88789 -31724.7852651 
0.0202259 -298925.138148 -274550.876536 -248444.262149 -220669.671909 -191382.018746 -161742.703962 -132081.0426 -103021.218518 -75707.7658719 -51585.6334746 
0.0219517 -383212.534891 -352410.79635 -319354.179798 -284109.270922 -246862.570003 -208879.478443 -170757.947098 -133355.600441 -98210.1890282 -67024.4229102 
0.0236775142857 -418145.649155 -392583.979078 -362730.988064 -328619.660788 -290344.804148 -248140.73047 -204115.875291 -159539.999366 -116448.757565 -79405.5699477 
0.0254033285714 -406677.2418 -397075.172676 -380324.798257 -355792.338743 -322721.269366 -280292.216889 -232710.022605 -181365.812122 -128283.412171 -87164.1965058 
0.0271291285714 -441435.853801 -429063.068539 -409358.217337 -381603.714123 -344956.622694 -299234.441888 -248267.978584 -192753.510967 -133781.357594 -90722.5836024 
0.0288549428571 -511630.50286 -478807.20791 -441158.718161 -398629.580843 -351239.943305 -299954.840841 -246752.710727 -191666.80335 -135085.353325 -91798.9157942 
0.0305807428571 -536704.919824 -492893.989136 -446040.942262 -396399.506936 -344416.034476 -291504.80627 -238597.365378 -185734.942088 -133464.175372 -90917.2403618 
0.0323065571429 -524889.822064 -480632.94168 -433771.205557 -384460.129211 -333028.70857 -281524.14218 -230275.811465 -179479.062619 -129909.984688 -88575.0377788 
0.0340323714286 -498463.123053 -456335.760384 -411762.246084 -364910.210843 -316133.972641 -267248.45735 -218610.166252 -170505.491213 -123802.938431 -84452.6648825 
0.0357581714286 -466608.879405 -427218.226323 -385424.255899 -341533.792917 -296042.44456 -250274.305485 -204775.490004 -159826.865871 -116258.308558 -79366.406697 
0.0374839857143 -432982.946561 -396560.740809 -357935.829947 -317287.363871 -274949.762734 -232498.979459 -190256.020685 -148569.940249 -108344.644498 -73968.1786079 
0.0392097857143 -397845.533727 -364419.974975 -328989.858688 -291700.392425 -252834.945849 -213786.769459 -174937.778391 -136667.929448 -99874.0597978 -68191.2921809 
0.0409356 -362484.685727 -332015.124971 -299698.546262 -265711.067955 -230361.592168 -194830.683612 -159439.99379 -124586.365391 -91150.6935046 -62305.9742107 
0.0426614142857 -327836.895996 -300416.900308 -271233.878254 -240481.569347 -208489.340336 -176296.565287 -144279.827227 -112809.060507 -82692.8748973 -56528.2337115 
0.0442871428571 -296640.578072 -271896.892888 -245571.297838 -217771.512019 -188696.816354 -159585.160801 -130604.539448 -102140.690861 -75024.2545445 -51271.1176196 
0.0460057142857 -265843.448448 -243391.11914 -219618.552406 -194672.596607 -168801.610206 -142685.465408 -116727.708343 -91312.7158407 -67194.6203976 -45950.786826 
0.0469728571429 -249581.217105 -228156.918868 -205693.174694 -182273.126889 -158082.997524 -133532.61638 -109210.010377 -85473.9636254 -63010.2976466 -43084.4066801 
0.0489185714286 -219448.270097 -200979.786205 -181419.306333 -160808.128597 -139264.203818 -117690.261005 -96235.0013821 -75320.2992392 -55760.7609344 -38129.1177459 
0.0507871428571 -194965.463761 -178865.403185 -161357.885082 -142792.69395 -123625.693927 -104397.347104 -85317.4134494 -66813.0804767 -49656.9656011 -33994.1776542 
0.0526571428571 -175144.540369 -159613.994911 -143868.336581 -127579.348693 -110429.825678 -93208.8195158 -76101.2510954 -59602.1559217 -44565.7864509 -30511.5372217 
0.0542142857143 -159908.054455 -145811.517974 -131563.985568 -116758.510391 -100991.895835 -85195.0938257 -69533.9488045 -54511.3245055 -40982.8163578 -28048.4061901 
0.05613 -145166.651979 -133866.743249 -120594.748848 -106222.975937 -91772.8870746 -77338.6575639 -63063.4781739 -49487.7272159 -37510.233535 -25722.8040663 
0.0577114285714 -137258.686552 -125652.053165 -113160.83015 -99998.2244804 -86434.8062818 -72811.7489741 -59334.8911003 -46578.4617711 -35490.2665036 -24358.2461626 
0.0594857142857 -132564.076544 -120606.169316 -108425.690188 -95854.2348694 -82749.3302039 -69712.235247 -56817.9225937 -44676.9685679 -34271.4901816 -23506.3956668 
0.0613485714286 -127854.429499 -117173.449844 -105471.797124 -93084.1687667 -80430.5545766 -67710.5608794 -55165.704685 -43424.4974938 -33494.1847817 -22989.4119168 
0.0630714285714 -127493.411438 -116896.861786 -105520.008169 -93406.2694261 -80645.5080109 -67937.2345215 -55382.510318 -43620.4972665 -33690.0010634 -23148.5915083 
0.0648985714286 -129667.762611 -118004.024216 -106263.088843 -94176.4251349 -81480.8313762 -68729.523682 -56066.2658478 -44173.7441918 -34128.006255 -23488.3272928 
0.0665842857143 -133149.676527 -122026.515766 -109820.47557 -97018.4535476 -84217.5387829 -71113.8894669 -58096.3181567 -45810.8093822 -35289.9700964 -24288.9038682 
0.0683185714286 -138537.262738 -127182.296025 -114867.559696 -101757.985079 -88078.9410728 -74490.5320205 -60944.8663693 -48072.4060685 -36912.7198163 -25376.6969927 
0.0698985714286 -141903.892133 -129167.13431 -116783.745841 -104036.43562 -90154.8729283 -76289.5161335 -62464.8219529 -49273.9856002 -37689.2093564 -25934.1005494 
0.0718742857143 -147878.209525 -135756.837785 -122641.823678 -108825.519226 -94688.4303718 -80242.3388423 -65831.6501492 -51962.8766499 -39488.5603655 -27179.0746664 
0.0736557142857 -152295.48435 -140089.762402 -126895.029767 -112825.734472 -98056.9474644 -83213.8003332 -68357.9272386 -53955.6768932 -40825.7466582 -28072.9710594 
0.07483 -153993.092179 -141746.15572 -128523.387724 -114408.768718 -99543.5027677 -84535.0050239 -69497.7782684 -54862.0267045 -41388.3540329 -28480.2693587 
0.0768314285714 -156947.653253 -144136.206132 -130633.259059 -116448.838852 -101639.689202 -86478.7140072 -71214.4884215 -56247.7211129 -42289.449487 -29098.2460916 
0.0787628571429 -158543.511636 -145907.661932 -132521.133253 -118267.651626 -103054.513614 -87759.5036156 -72353.2385666 -57202.2874023 -42996.5386535 -29563.375214 
0.0803942857143 -156931.493622 -145256.347774 -132203.104746 -117989.128887 -102898.12756 -87676.1637671 -72331.380013 -57252.5977931 -43164.3078393 -29662.2481926 
0.0819328571429 -155156.293602 -143321.791367 -130264.89654 -116286.579271 -101772.705482 -86803.0091926 -71658.1221879 -56813.4388829 -43091.0080917 -29595.6325532 
0.0838585714286 -151433.608969 -139331.529231 -126638.31967 -113276.830818 -99211.2899699 -84673.9351592 -69942.3561843 -55588.622864 -42569.4109336 -29234.2226897 
0.0855528571429 -146077.399649 -134837.146978 -122660.257278 -109666.939308 -96032.3726075 -81976.250068 -67740.1432472 -53969.7980607 -41727.1221343 -28641.8646546 
0.0873357142857 -139850.875755 -129183.678599 -117779.197994 -105470.251238 -92095.8879795 -78622.5917161 -64993.2268507 -51899.2627692 -40472.8988032 -27797.0092365 
