0.00031899 1358.3 1250.6 1134.2 1009.8 878.92 743.81 607.91 475.51 351.5 240.84 
0.00032544 1384.5 1274.7 1156.1 1029.3 895.87 758.16 619.63 484.68 358.29 245.49 
0.00033201 1411.2 1299.3 1178.4 1049.2 913.15 772.78 631.58 494.03 365.2 250.23 
0.00033872 1438.4 1324.3 1201.1 1069.4 930.75 787.68 643.76 503.56 372.24 255.05 
0.00034556 1466.1 1349.9 1224.3 1090.0 948.69 802.87 656.17 513.27 379.42 259.97 
0.00035254 1494.3 1375.9 1247.8 1111.0 966.98 818.34 668.82 523.16 386.74 264.99 
0.00035966 1523.1 1402.4 1271.9 1132.4 985.61 834.11 681.71 533.25 394.19 270.1 
0.00036693 1552.5 1429.4 1296.4 1154.2 1004.6 850.18 694.85 543.52 401.79 275.3 
0.00037434 1582.3 1456.9 1321.3 1176.5 1023.9 866.55 708.23 553.99 409.53 280.61 
0.0003819 1612.8 1485.0 1346.8 1199.1 1043.7 883.24 721.87 564.66 417.42 286.02 
0.00038962 1643.8 1513.5 1372.7 1222.2 1063.7 900.24 735.77 575.54 425.46 291.53 
0.00039749 1675.5 1542.7 1399.1 1245.7 1084.2 917.57 749.93 586.62 433.65 297.14 
0.00040552 1707.7 1572.3 1426.0 1269.7 1105.1 935.22 764.36 597.91 442.0 302.86 
0.00041371 1740.5 1602.6 1453.5 1294.1 1126.3 953.21 779.07 609.41 450.51 308.69 
0.00042207 1774.0 1633.4 1481.4 1319.0 1148.0 971.54 794.05 621.13 459.18 314.63 
0.0004306 1808.1 1664.8 1509.9 1344.3 1170.1 990.22 809.32 633.08 468.01 320.69 
0.00043929 1842.8 1696.7 1538.9 1370.1 1192.5 1009.2 824.87 645.25 477.01 326.85 
0.00044817 1878.2 1729.3 1568.4 1396.5 1215.4 1028.6 840.72 657.65 486.17 333.14 
0.00045722 1914.3 1762.5 1598.5 1423.3 1238.8 1048.4 856.87 670.28 495.52 339.54 
0.00046646 1951.0 1796.3 1629.2 1450.6 1262.6 1068.5 873.32 683.15 505.03 346.07 
0.00047588 1988.4 1830.8 1660.5 1478.4 1286.8 1089.0 890.08 696.27 514.73 352.71 
0.0004855 2026.5 1865.9 1692.3 1506.8 1311.5 1109.9 907.16 709.63 524.61 359.49 
0.0004953 2065.4 1901.7 1724.8 1535.7 1336.6 1131.2 924.56 723.24 534.68 366.39 
0.00050531 2105.0 1938.1 1757.8 1565.1 1362.2 1152.9 942.28 737.11 544.93 373.42 
0.00051552 2145.3 1975.2 1791.5 1595.1 1388.3 1175.0 960.34 751.24 555.38 380.58 
0.00052593 2186.3 2013.1 1825.8 1625.6 1414.9 1197.5 978.73 765.63 566.03 387.88 
0.00053656 2228.2 2051.6 1860.7 1656.7 1442.0 1220.4 997.47 780.29 576.87 395.31 
0.00054739 2270.8 2090.8 1896.3 1688.4 1469.6 1243.7 1016.6 795.23 587.91 402.88 
0.00055845 2314.2 2130.8 1932.6 1720.7 1497.7 1267.5 1036.0 810.44 599.17 410.6 
0.00056973 2358.4 2171.5 1969.5 1753.6 1526.3 1291.8 1055.8 825.94 610.63 418.45 
0.00058124 2403.5 2213.0 2007.1 1787.1 1555.5 1316.4 1076.0 841.73 622.3 426.46 
0.00059299 2449.3 2255.2 2045.4 1821.2 1585.2 1341.6 1096.5 857.81 634.2 434.61 
0.00060496 2496.1 2298.3 2084.5 1856.0 1615.4 1367.2 1117.5 874.19 646.31 442.92 
0.00061719 2543.7 2342.1 2124.2 1891.4 1646.2 1393.3 1138.8 890.87 658.65 451.38 
0.00062965 2592.1 2386.7 2164.7 1927.4 1677.6 1419.8 1160.5 907.86 671.21 459.99 
0.00064237 2641.5 2432.2 2205.9 1964.1 1709.6 1446.9 1182.6 925.17 684.01 468.77 
