k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.08) d^2P/dk^2(z=0.17) d^2P/dk^2(z=0.29) d^2P/dk^2(z=0.42) d^2P/dk^2(z=0.59) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.08) d^2P/dk^2(z=1.45) d^2P/dk^2(z=2.00) 
0.00021383 -136122090.731 -684584334.136 2898635686.38 390499494.258 472075129.102 2314932979.6 -1243525540.66 256019570.435 -651138164.594 -210340158.65 
0.00021815 2857266507.97 2484829387.87 -681699121.035 998058220.597 1884782778.41 23292107.491 2898617429.61 1937451285.8 1722668570.33 407838976.844 
0.00022255 -5509700106.02 -4642846647.88 -2382217805.0 -3306281508.35 -3170540966.63 -2939085761.7 -3553273429.78 -3626309324.83 -1769540579.79 -1065656989.9 
0.00022705 2703856870.72 514551473.554 -684865649.813 721829659.071 -749459229.907 559171463.962 581236106.848 1944620678.16 129943839.419 -223914502.173 
0.00023164 -5991224909.55 -1131538565.9 -932492975.148 -1554136231.68 96214108.3946 -415505784.046 -698168402.815 -1356068507.85 -602496615.125 222894302.675 
0.00023632 4001482609.53 540266468.3 1465233431.4 883112442.933 192747966.479 77053575.8607 423192845.136 618039143.986 540513180.159 464602966.717 
0.00024109 -2369940984.91 -1639034252.17 -2355140736.97 -1010782958.12 -1010253249.42 -861169478.639 -28277515.8083 -1169064082.5 -536286285.168 -994615424.147 
0.00024596 2174855424.23 -1704123045.52 -984312256.427 -1196440452.77 -564778128.109 -765882079.923 -1543608649.39 315644942.052 -156498156.99 98822780.6521 
0.00025093 -9382085732.12 3575653807.59 289855124.665 -776037814.037 -888628311.234 20976571.5618 114757030.27 -1161750862.84 -500785090.258 -169869943.244 
0.000256 8772567998.6 -9987791538.9 -1084826142.92 456264559.673 198443708.604 -628550661.882 53599819.64 961901917.085 586935459.369 -133273862.504 
0.00026117 -5404999993.84 9236279519.37 -1326519957.69 -2374641477.94 -1322614736.83 -997445010.025 -1272356073.45 -1320718100.09 -1050263619.72 25965949.9771 
0.00026645 1357092621.78 -8463931980.99 360129479.388 1122504755.95 141342393.243 762975259.865 130019730.164 302113472.15 -126531427.621 -18076133.0498 
0.00027183 -2350478646.8 8144228840.25 -706318071.33 -1104873274.93 -447743163.099 -968902361.005 -36039537.5694 -678405909.221 236576528.961 -558458208.79 
0.00027732 -2345713441.97 -7046329368.21 -945321744.647 144841280.713 -789105997.811 -374285122.992 -384321415.815 788194543.474 -165295989.5 208862816.754 
0.00028292 1871857714.56 -2414609100.31 -2582197818.15 -2438814994.47 -631569064.778 -829653738.127 -732126426.44 -2052473244.72 -880629511.565 -269302446.447 
0.00028864 -3409546091.46 6893512202.28 1950587023.63 1154101835.7 -28566725.0372 139761755.219 -406713956.479 1431463452.91 477489781.648 -461548418.497 
0.00029447 2846571629.63 -9668385300.75 -782058444.499 -1161624677.11 -1236127024.15 -860048337.397 326904513.154 -1417538509.98 -382919827.909 361663560.241 
0.00030042 -6215539945.79 5627479927.29 -442492880.798 -723112599.048 280119201.64 114437186.483 -797081816.779 503925560.434 -137692122.886 -447840680.083 
0.00030649 7156393054.65 -4626876044.67 986416728.605 55928177.703 -1011624766.9 -951253052.78 -327471777.257 -838898402.376 -195975917.116 291544434.418 
0.00031268 -4762206592.35 4864028354.01 -4918178796.99 -1666559295.76 1116698929.72 825901859.574 662525186.046 1043709292.86 -141218765.052 -212659655.381 
0.00031899 -1785552482.36 -7161068665.8 2085419072.3 -5569589.7115 -2886617878.97 -1995773451.24 -2133245681.37 -1982982287.43 -241505159.324 -475659100.537 
0.00032544 1598278346.0 5427196649.34 194403858.13 2646663609.32 1791940546.45 974468812.827 1248525448.9 1069620649.07 5739046.31783 478675131.281 
0.00033201 -2836184785.15 -7303886508.33 -3852275355.33 -5312343762.27 -2231870497.24 -1482719164.68 -1192654536.83 -986675601.08 -664919809.87 -945353315.257 
0.00033872 473075397.896 7045544688.43 5038001427.81 1905280661.28 654013597.682 712146193.668 214491306.772 294403713.123 328203982.68 474167216.589 
0.00034556 -2551393265.51 -5918028881.61 -8460010412.51 -1228799011.65 -527884536.542 -1196875191.02 -446234458.041 -792898493.6 -185536430.471 -102665790.985 
